customerID,phoneservice,internetservice,onlinesecurity,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,churn,tenure,monthlycharges
8773-HHUOZ,Yes,DSL,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,17,64.7
3841-NFECX,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,71,96.35
4929-XIHVW,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,2,95.5
6827-IEAUQ,Yes,DSL,Yes,Yes,No,No,One year,No,Mailed check,No,27,66.15
7310-EGVHZ,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,1,20.2
3413-BMNZE,Yes,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,1,45.25
6234-RAAPL,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),No,72,99.9
6047-YHPVI,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,5,69.7
6572-ADKRS,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),No,46,74.8
5380-WJKOV,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,34,106.35
8168-UQWWF,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,11,97.85
8865-TNMNX,Yes,DSL,No,No,No,No,One year,No,Mailed check,No,10,49.55
9489-DEDVP,Yes,DSL,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),No,70,69.2
9867-JCZSP,Yes,No,No,No,No,No,One year,No,Mailed check,No,17,20.75
4671-VJLCL,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,63,79.85
4080-IIARD,Yes,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,No,13,76.2
3714-NTNFO,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,49,84.5
5948-UJZLF,Yes,DSL,No,No,No,No,Month-to-month,No,Mailed check,No,2,49.25
7760-OYPDY,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,2,80.65
7639-LIAYI,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,52,79.75
2954-PIBKO,Yes,DSL,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,69,64.15
8012-SOUDQ,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,43,90.25
9420-LOJKX,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,15,99.1
6575-SUVOI,Yes,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No,25,69.5
7495-OOKFY,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,8,80.65
4667-QONEA,Yes,DSL,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No,60,74.85
1658-BYGOY,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,18,95.45
8769-KKTPH,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No,63,99.65
5067-XJQFU,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,No,66,108.45
3957-SQXML,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),No,34,24.95
5954-BDFSG,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,72,107.5
0434-CSFON,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,47,100.5
1215-FIGMP,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,60,89.9
0526-SXDJP,No,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),No,72,42.1
0557-ASKVU,Yes,DSL,No,Yes,No,No,One year,Yes,Credit card (automatic),No,18,54.4
5698-BQJOH,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,9,94.4
5122-CYFXA,Yes,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,3,75.3
8627-ZYGSZ,Yes,Fiber optic,No,No,No,No,One year,Yes,Electronic check,No,47,78.9
3410-YOQBQ,Yes,DSL,No,Yes,Yes,Yes,Two year,No,Mailed check,No,31,79.2
3170-NMYVV,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,50,20.15
7410-OIEDU,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,No,10,79.85
2273-QCKXA,Yes,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,No,1,49.05
0731-EBJQB,Yes,No,No,No,No,No,One year,Yes,Electronic check,No,52,20.4
1891-QRQSA,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,64,111.6
8028-PNXHQ,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,62,24.25
5630-AHZIL,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,3,64.5
2673-CXQEU,Yes,Fiber optic,Yes,No,Yes,Yes,One year,No,Electronic check,No,56,110.5
6416-JNVRK,Yes,DSL,No,No,No,Yes,One year,No,Credit card (automatic),No,46,55.65
5590-ZSKRV,Yes,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,No,8,54.65
0191-ZHSKZ,Yes,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,30,74.75
3887-PBQAO,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),No,45,25.9
5919-TMRGD,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,1,79.35
8108-UXRQN,No,DSL,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,No,11,50.55
9191-MYQKX,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,7,75.15
9919-YLNNG,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,42,103.8
0318-ZOPWS,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,49,20.15
4445-ZJNMU,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,9,99.3
4808-YNLEU,Yes,DSL,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),No,35,62.15
1862-QRWPE,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,48,20.65
2796-NNUFI,Yes,No,No,No,No,No,Two year,Yes,Mailed check,No,46,19.95
3016-KSVCP,No,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,No,29,33.75
4767-HZZHQ,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,30,82.05
2424-WVHPL,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,No,1,74.7
7233-PAHHL,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No,66,84.0
6067-NGCEU,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,65,111.05
9848-JQJTX,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,72,100.9
8637-XJIVR,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,12,78.95
9803-FTJCG,Yes,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No,71,66.85
0278-YXOOG,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,5,21.05
3212-KXOCR,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,52,21.0
4598-XLKNJ,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,25,98.5
6380-ARCEH,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,1,20.2
3679-XASPY,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,1,19.45
7123-WQUHX,Yes,Fiber optic,No,Yes,Yes,No,One year,No,Bank transfer (automatic),No,38,95.0
5386-THSLQ,No,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),No,66,45.55
3192-NQECA,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes,68,110.0
6180-YBIQI,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,No,5,24.3
6728-DKUCO,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,No,72,104.15
9750-BOOHV,No,DSL,Yes,No,No,No,One year,No,Mailed check,No,32,30.15
8597-CWYHH,Yes,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,No,43,94.35
2848-YXSMW,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),No,72,19.4
0486-HECZI,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,55,96.75
4549-ZDQYY,Yes,DSL,Yes,Yes,No,No,One year,No,Credit card (automatic),No,52,57.95
5712-AHQNN,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,43,91.65
4846-WHAFZ,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,37,76.5
5256-SKJGO,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No,64,54.6
3071-VBYPO,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,No,3,89.85
9560-BBZXK,No,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),No,36,31.05
5299-RULOA,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,10,100.25
8402-OOOHJ,Yes,No,No,No,No,No,Two year,No,Mailed check,No,41,20.65
9445-ZUEQE,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No,27,85.2
1091-SOZGA,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No,56,99.8
2928-HLDBA,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,6,20.7
0404-SWRVG,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,3,74.4
6497-TILVL,Yes,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,No,7,50.7
7219-TLZHO,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,4,20.85
4622-YNKIJ,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Electronic check,No,33,88.95
4412-YLTKF,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,27,78.05
6734-PSBAW,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,72,23.55
3930-ZGWVE,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,1,19.75
2639-UGMAZ,No,DSL,Yes,No,Yes,Yes,One year,Yes,Electronic check,No,71,56.45
2876-GZYZC,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,13,85.95
6207-WIOLX,No,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,25,58.6
8587-XYZSF,Yes,DSL,No,Yes,No,No,Two year,No,Bank transfer (automatic),No,67,50.55
3091-FYHKI,No,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,1,35.45
2372-HWUHI,Yes,DSL,No,No,No,No,Month-to-month,No,Electronic check,Yes,2,44.35
7799-LGRDP,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),No,43,25.7
7850-VWJUU,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,23,75.0
3774-VBNXY,Yes,No,No,No,No,No,Two year,No,Mailed check,No,64,20.2
6217-KDYWC,Yes,No,No,No,No,No,Two year,Yes,Mailed check,No,57,19.6
0390-DCFDQ,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,1,70.45
3146-MSEGF,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,72,88.05
4080-OGPJL,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,Yes,8,71.15
1095-WGNGG,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,61,101.05
2636-SJDOU,Yes,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),No,64,84.3
1131-QQZEB,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,71,23.95
5716-EZXZN,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,65,99.05
6837-BJYDQ,Yes,No,No,No,No,No,One year,No,Mailed check,No,3,19.6
2135-RXIHG,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,1,45.65
6440-DKQGE,Yes,DSL,No,No,Yes,No,One year,No,Credit card (automatic),No,30,64.5
3466-BYAVD,Yes,DSL,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,No,15,69.5
3780-YVMFA,Yes,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,8,68.55
3874-EQOEP,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,Yes,7,95.0
1679-JRFBR,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No,70,108.15
9073-ZZIAY,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Electronic check,No,62,86.1
3077-RSNTJ,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,6,19.7
6551-GNYDG,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,14,80.9
9167-APMXZ,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,22,84.15
2749-CTKAJ,Yes,No,No,No,No,No,One year,No,Mailed check,No,22,20.15
6371-NZYEG,Yes,DSL,Yes,No,Yes,No,Two year,No,Mailed check,No,16,64.25
7554-NEWDD,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,10,25.7
8992-VONJD,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,No,13,56.0
0867-MKZVY,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,Yes,20,82.4
4482-EWFMI,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,No,2,69.7
4648-YPBTM,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),No,53,73.9
2907-ILJBN,Yes,No,No,No,No,No,One year,No,Mailed check,No,11,20.6
6345-FZOQH,Yes,No,No,No,No,No,Two year,No,Mailed check,No,69,19.9
3376-BMGFE,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,4,70.9
5997-OPVFA,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,72,89.05
3445-HXXGF,No,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,58,45.3
1159-WFSGR,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,16,20.4
7654-YWJUF,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),No,43,84.25
1875-QIVME,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,2,104.4
6727-IOTLZ,Yes,DSL,No,Yes,Yes,Yes,Two year,No,Mailed check,No,14,81.95
0691-JVSYA,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes,53,94.85
5918-VUKWP,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),No,32,20.55
1744-JHKYS,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,34,24.7
2656-FMOKZ,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,15,74.45
2070-FNEXE,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,7,76.45
5947-SGKCL,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,15,105.35
3712-PKXZA,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),No,61,20.55
6317-YPKDH,No,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,1,29.95
6582-OIVSP,Yes,DSL,No,No,No,No,Month-to-month,No,Mailed check,No,1,45.3
9367-WXLCH,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),Yes,8,84.5
5524-KHNJP,Yes,DSL,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No,33,74.75
1918-ZBFQJ,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,13,79.25
1024-GUALD,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,1,24.8
4827-USJHP,Yes,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,No,20,51.8
8167-GJLRN,No,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,No,3,30.4
0956-SYCWG,Yes,No,No,No,No,No,One year,No,Electronic check,No,13,19.65
8017-UVSZU,Yes,DSL,No,No,No,No,Month-to-month,No,Credit card (automatic),No,40,56.6
7100-FQPRV,Yes,DSL,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No,43,71.9
2472-OVKUP,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,6,91.0
2984-RGEYA,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,69,19.75
9680-NIAUV,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),No,72,109.7
2146-EGVDT,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),No,59,19.3
2604-IJPDU,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,No,20,96.55
9178-JHUVJ,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,24,24.1
6168-YBYNP,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,59,111.35
7255-SSFBC,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,72,112.25
3645-DEYGF,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,1,20.75
9323-HGFWY,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No,27,101.9
8544-GOQSH,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No,14,80.05
3363-DTIVD,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,No,Electronic check,No,71,105.55
7018-WBJNK,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,13,78.3
9142-KZXOP,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),No,44,68.85
7674-YTAFD,Yes,Fiber optic,No,Yes,No,No,One year,Yes,Bank transfer (automatic),No,33,79.95
6348-SNFUS,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),No,72,55.45
1285-OKIPP,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,Yes,1,79.9
7825-ECJRF,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,19,106.6
1347-KTTTA,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No,64,102.45
7841-TZDMQ,Yes,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,2,46.0
4195-NZGTA,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,No,1,25.25
7157-SMCFK,Yes,No,No,No,No,No,Two year,No,Mailed check,No,61,19.75
4709-LKHYG,Yes,No,No,No,No,No,One year,No,Electronic check,No,29,20.0
2504-DSHIH,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,No,23,86.8
0699-NDKJM,No,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,57,58.75
9286-BHDQG,No,DSL,Yes,Yes,No,No,Two year,No,Credit card (automatic),No,72,45.25
0230-WEQUW,No,DSL,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),No,66,56.6
2040-LDIWQ,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,65,84.2
6496-JDSSB,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,8,80.0
9408-SSNVZ,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,4,70.15
4443-EMBNA,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,71,24.75
6469-MRVET,Yes,No,No,No,No,No,One year,Yes,Electronic check,No,1,20.2
0742-MOABM,Yes,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,Yes,4,50.05
5961-VUSRV,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),No,12,19.35
6778-JFCMK,No,DSL,Yes,No,Yes,Yes,One year,Yes,Mailed check,No,24,50.6
6341-JVQGF,Yes,DSL,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,No,31,81.15
2232-DMLXU,Yes,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,Yes,1,55.2
4811-JBUVU,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),No,30,89.9
0945-TSONX,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,47,85.3
2651-ZCBXV,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,54,108.0
3316-UWXUY,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),No,50,93.5
8937-RDTHP,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,Yes,1,84.6
7083-MIOPC,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),No,72,20.25
1984-GPTEH,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,29,25.15
1251-KRREG,Yes,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,2,54.4
0621-JFHOL,No,DSL,No,Yes,No,No,Two year,Yes,Mailed check,No,10,29.6
9903-LYSAB,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,No,18,73.15
0094-OIFMO,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,11,95.0
9227-UAQFT,Yes,No,No,No,No,No,Two year,No,Mailed check,No,16,19.75
7301-ABVAD,Yes,DSL,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),No,72,86.6
6614-FHDBO,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),No,72,109.2
7576-ASEJU,Yes,DSL,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No,41,74.7
9058-HRZSV,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,No,65,94.4
4522-AKYLR,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,No,13,54.8
0221-WMXNQ,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,No,4,75.35
0303-UNCIP,Yes,DSL,No,No,No,Yes,One year,No,Mailed check,No,41,65.0
9947-OTFQU,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,15,74.4
0322-YINQP,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,Yes,1,48.55
0959-WHOKV,Yes,Fiber optic,Yes,No,No,Yes,One year,Yes,Electronic check,No,42,99.0
4075-JFPGR,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Electronic check,No,51,93.5
4629-NRXKX,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,Yes,2,70.4
9514-JDSKI,No,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,Yes,1,40.2
3282-ZISZV,Yes,DSL,No,Yes,Yes,Yes,One year,No,Credit card (automatic),No,32,83.7
3675-YDUPJ,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,10,19.85
4111-BNXIF,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No,67,59.55
7017-VFHAY,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,61,115.1
6655-LHBYW,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),No,50,114.35
4959-JOSRX,Yes,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,2,44.6
